entry_time,exit_time,direction,setup,choch_type,entry_price,sl_price,tp1_price,tp2_price,tp1_source,tp2_source,exit_price,exit_reason,tp1_hit,pnl_r,pnl_pct,session,liquidity_sweep
2024-08-25 08:20:00+00:00,2024-08-26 12:30:00+00:00,bullish,continuation,CHoCH_internal_bull,0.5996,0.59084,0.6434,,EQH,,0.59084,SL,False,-1.0,-1.0,london,False
2024-08-25 11:05:00+00:00,2024-08-26 12:30:00+00:00,bullish,continuation,CHoCH_internal_bull,0.6015,0.59084,0.6434,,EQH,,0.59084,SL,False,-1.0,-1.0,other,False
2024-08-25 12:50:00+00:00,2024-08-26 12:30:00+00:00,bullish,continuation,CHoCH_internal_bull,0.6024,0.59084,0.6434,,EQH,,0.59084,SL,False,-1.0,-1.0,overlap,False
2024-08-26 15:30:00+00:00,2024-08-26 16:20:00+00:00,bullish,continuation,CHoCH_internal_bull,0.5928,0.590841,0.6434,,EQH,,0.590841,SL,False,-1.0,-1.0,ny,False
2024-08-23 10:15:00+00:00,2024-08-26 17:40:00+00:00,bullish,continuation,CHoCH_internal_bull,0.6005,0.58394,0.6434,,EQH,,0.58394,SL,False,-1.0,-1.0,other,False
2024-08-23 12:55:00+00:00,2024-08-26 17:40:00+00:00,bullish,continuation,CHoCH_internal_bull,0.5992,0.58394,0.6434,,EQH,,0.58394,SL,False,-1.0,-1.0,overlap,False
2024-08-23 14:05:00+00:00,2024-08-26 17:40:00+00:00,bullish,continuation,CHoCH_internal_bull,0.5988,0.58394,0.6434,,EQH,,0.58394,SL,False,-1.0,-1.0,ny,False
2024-08-23 16:35:00+00:00,2024-08-26 17:40:00+00:00,bullish,continuation,CHoCH_internal_bull,0.6024,0.58394,0.6434,,EQH,,0.58394,SL,False,-1.0,-1.0,other,False
2024-09-17 17:25:00+00:00,2024-09-24 17:25:00+00:00,bullish,continuation,CHoCH_internal_bull,0.5881,0.559741,0.6434,,EQH,,0.5863,MAX_HOLD,False,-0.063,-0.063,other,False
2024-09-18 03:05:00+00:00,2024-09-25 03:05:00+00:00,bullish,continuation,CHoCH_internal_bull,0.5821,0.559742,0.6434,,EQH,,0.5923,MAX_HOLD,False,0.456,0.456,other,False
2024-09-18 05:30:00+00:00,2024-09-25 05:30:00+00:00,bullish,continuation,CHoCH_internal_bull,0.5802,0.559742,0.6434,,EQH,,0.5899,MAX_HOLD,False,0.474,0.474,other,False
2024-09-18 11:30:00+00:00,2024-09-25 11:30:00+00:00,bullish,continuation,CHoCH_internal_bull,0.5735,0.559743,0.6434,,EQH,,0.5886,MAX_HOLD,False,1.098,1.098,other,False
2024-09-18 15:05:00+00:00,2024-09-25 15:05:00+00:00,bullish,continuation,CHoCH_internal_bull,0.5695,0.559743,0.6434,,EQH,,0.5909,MAX_HOLD,False,2.193,2.193,ny,False
2024-09-18 16:55:00+00:00,2024-09-25 16:55:00+00:00,bullish,continuation,CHoCH_internal_bull,0.5679,0.559743,0.6434,,EQH,,0.5867,MAX_HOLD,False,2.305,2.305,other,False
2024-09-18 17:35:00+00:00,2024-09-25 17:35:00+00:00,bullish,continuation,CHoCH_internal_bull,0.5692,0.559743,0.6434,,EQH,,0.5844,MAX_HOLD,False,1.607,1.607,other,False
2024-09-18 21:10:00+00:00,2024-09-25 21:10:00+00:00,bullish,continuation,CHoCH_internal_bull,0.5788,0.559742,0.6434,,EQH,,0.5871,MAX_HOLD,False,0.436,0.436,other,False
2024-09-25 08:05:00+00:00,2024-09-26 00:45:00+00:00,bullish,continuation,CHoCH_internal_bull,0.5879,0.577741,0.6434,,EQH,,0.577741,SL,False,-1.0,-1.0,london,False
2024-09-25 08:55:00+00:00,2024-09-26 00:45:00+00:00,bullish,continuation,CHoCH_internal_bull,0.5883,0.577741,0.6434,,EQH,,0.577741,SL,False,-1.0,-1.0,london,False
2024-09-25 14:00:00+00:00,2024-09-26 00:45:00+00:00,bullish,continuation,CHoCH_internal_bull,0.5909,0.577741,0.6434,,EQH,,0.577741,SL,False,-1.0,-1.0,ny,False
2024-09-25 18:40:00+00:00,2024-09-26 00:45:00+00:00,bullish,continuation,CHoCH_internal_bull,0.5857,0.577741,0.6434,,EQH,,0.577741,SL,False,-1.0,-1.0,other,False
2024-09-25 21:05:00+00:00,2024-09-26 00:45:00+00:00,bullish,continuation,CHoCH_internal_bull,0.5866,0.577741,0.6434,,EQH,,0.577741,SL,False,-1.0,-1.0,other,False
2024-09-26 10:10:00+00:00,2024-10-01 17:15:00+00:00,bullish,continuation,CHoCH_internal_bull,0.5887,0.5887,0.6434,,EQH,,0.5887,BE,True,0.0,0.0,other,False
2024-09-27 04:40:00+00:00,2024-10-01 17:15:00+00:00,bullish,continuation,CHoCH_internal_bull,0.5884,0.5884,0.6434,,EQH,,0.5884,BE,True,0.0,0.0,other,False
2024-09-27 05:50:00+00:00,2024-10-01 17:15:00+00:00,bullish,continuation,CHoCH_internal_bull,0.5906,0.5906,0.6434,,EQH,,0.5906,BE,True,0.0,0.0,other,False
2024-09-26 01:55:00+00:00,2024-10-01 17:20:00+00:00,bullish,continuation,CHoCH_internal_bull,0.5801,0.5801,0.6434,,EQH,,0.5801,BE,True,0.0,0.0,other,False
2024-09-26 02:50:00+00:00,2024-10-01 17:20:00+00:00,bullish,continuation,CHoCH_internal_bull,0.5821,0.5821,0.6434,,EQH,,0.5821,BE,True,0.0,0.0,other,False
2024-09-26 09:30:00+00:00,2024-10-01 17:20:00+00:00,bullish,continuation,CHoCH_internal_bull,0.5878,0.5878,0.6434,,EQH,,0.5878,BE,True,0.0,0.0,london,False
2024-09-27 03:30:00+00:00,2024-10-01 17:20:00+00:00,bullish,continuation,CHoCH_internal_bull,0.5858,0.5858,0.6434,,EQH,,0.5858,BE,True,0.0,0.0,other,False
2024-09-27 04:05:00+00:00,2024-10-01 17:20:00+00:00,bullish,continuation,CHoCH_internal_bull,0.5874,0.5874,0.6434,,EQH,,0.5874,BE,True,0.0,0.0,other,False
2024-10-02 00:10:00+00:00,2024-10-02 18:10:00+00:00,bullish,continuation,CHoCH_internal_bull,0.5998,0.57384,0.6434,,EQH,,0.57384,SL,False,-1.0,-1.0,other,False
2024-10-02 15:30:00+00:00,2024-10-02 18:10:00+00:00,bullish,continuation,CHoCH_internal_bull,0.5864,0.573841,0.6434,,EQH,,0.573841,SL,False,-1.0,-1.0,ny,False
2024-10-15 06:20:00+00:00,2024-10-22 06:20:00+00:00,bullish,continuation,CHoCH_internal_bull,0.5455,0.520845,0.6434,,EQH,,0.5443,MAX_HOLD,False,-0.049,-0.049,other,False
2024-10-15 06:55:00+00:00,2024-10-22 06:55:00+00:00,bullish,continuation,CHoCH_internal_bull,0.5464,0.520845,0.6434,,EQH,,0.5444,MAX_HOLD,False,-0.078,-0.078,other,False
2024-10-15 09:45:00+00:00,2024-10-22 09:45:00+00:00,bullish,continuation,CHoCH_internal_bull,0.5469,0.525145,0.6434,,EQH,,0.5332,MAX_HOLD,False,-0.63,-0.63,london,False
2024-10-15 13:45:00+00:00,2024-10-22 13:45:00+00:00,bullish,continuation,CHoCH_internal_bull,0.543,0.525146,0.6434,,EQH,,0.5318,MAX_HOLD,False,-0.627,-0.627,ny,False
2024-10-15 16:15:00+00:00,2024-10-22 16:15:00+00:00,bullish,continuation,CHoCH_internal_bull,0.5417,0.525146,0.6434,,EQH,,0.5319,MAX_HOLD,False,-0.592,-0.592,other,False
2024-10-15 21:55:00+00:00,2024-10-22 21:55:00+00:00,bullish,continuation,CHoCH_internal_bull,0.5406,0.525146,0.6434,,EQH,,0.534,MAX_HOLD,False,-0.427,-0.427,other,False
2024-10-15 22:35:00+00:00,2024-10-22 22:35:00+00:00,bullish,continuation,CHoCH_internal_bull,0.541,0.525146,0.6434,,EQH,,0.5356,MAX_HOLD,False,-0.341,-0.341,other,False
2024-10-16 04:10:00+00:00,2024-10-23 04:10:00+00:00,bullish,continuation,CHoCH_internal_bull,0.5438,0.525146,0.6434,,EQH,,0.5321,MAX_HOLD,False,-0.627,-0.627,other,False
2024-11-09 20:50:00+00:00,2024-11-12 08:25:00+00:00,bullish,continuation,CHoCH_internal_bull,0.552,0.552,0.5785,0.6434,EQH,EQH,0.6434,TP2,True,7.907,0.0,other,False
2026-01-19 12:00:00+00:00,2026-01-26 12:00:00+00:00,bearish,continuation,CHoCH_internal_bear,1.9729,2.066297,1.7711,0.562133,EQL,EQL,1.8995,MAX_HOLD,False,0.786,0.786,overlap,False
2026-01-19 17:35:00+00:00,2026-01-26 17:35:00+00:00,bearish,continuation,CHoCH_internal_bear,2.0097,2.066301,1.7711,0.562133,EQL,EQL,1.9092,MAX_HOLD,False,1.776,1.776,other,False
2026-01-19 18:50:00+00:00,2026-01-26 18:50:00+00:00,bearish,continuation,CHoCH_internal_bear,2.0099,2.066301,1.7711,0.562133,EQL,EQL,1.9153,MAX_HOLD,False,1.677,1.677,other,False
2026-01-19 20:10:00+00:00,2026-01-26 20:10:00+00:00,bearish,continuation,CHoCH_internal_bear,2.0088,2.066301,1.7711,0.562133,EQL,EQL,1.9023,MAX_HOLD,False,1.852,1.852,other,False
2026-05-19 01:05:00+00:00,2026-05-26 01:05:00+00:00,bearish,continuation,CHoCH_internal_bear,1.3915,1.423439,0.562133,0.5434,EQL,EQL,1.3402,MAX_HOLD,False,1.606,1.606,other,False
2026-05-19 04:25:00+00:00,2026-05-26 04:25:00+00:00,bearish,continuation,CHoCH_internal_bear,1.3812,1.423438,0.562133,0.5434,EQL,EQL,1.3436,MAX_HOLD,False,0.89,0.89,other,False
2026-05-19 08:25:00+00:00,2026-05-26 08:25:00+00:00,bearish,continuation,CHoCH_internal_bear,1.3828,1.423438,0.562133,0.5434,EQL,EQL,1.3422,MAX_HOLD,False,0.999,0.999,london,False
2026-05-19 10:50:00+00:00,2026-05-26 10:50:00+00:00,bearish,continuation,CHoCH_internal_bear,1.3721,1.423437,0.562133,0.5434,EQL,EQL,1.3571,MAX_HOLD,False,0.292,0.292,other,False
2026-05-20 11:30:00+00:00,2026-05-27 11:30:00+00:00,bearish,continuation,CHoCH_internal_bear,1.3682,1.423437,0.562133,0.5434,EQL,EQL,1.3306,MAX_HOLD,False,0.681,0.681,other,False
2026-05-20 13:50:00+00:00,2026-05-27 13:50:00+00:00,bearish,continuation,CHoCH_internal_bear,1.3643,1.423436,0.562133,0.5434,EQL,EQL,1.3239,MAX_HOLD,False,0.683,0.683,ny,False
2026-05-20 16:25:00+00:00,2026-05-27 16:25:00+00:00,bearish,continuation,CHoCH_internal_bear,1.3699,1.423437,0.562133,0.5434,EQL,EQL,1.3321,MAX_HOLD,False,0.706,0.706,other,False
2026-05-20 18:25:00+00:00,2026-05-27 18:25:00+00:00,bearish,continuation,CHoCH_internal_bear,1.3723,1.423437,0.562133,0.5434,EQL,EQL,1.3217,MAX_HOLD,False,0.989,0.989,other,False
